Sentence #,Word,ANM,NER
Sentence 1 ,[CLS],O,O
,폴리,O,O
,##티,O,O
,##코는,O,O
,소식,ANM-B,PER-B
,##통,ANM-I,PER-I
,3명,ANM-I,NUM-B
,##을,O,O
,인용,O,O
,##해,O,O
,바이,O,O
,##든,O,O
,당선,O,O
,##인이,O,O
,미,O,O
,육군,O,O
,##에서,O,O
,흑인,O,O
,최초,O,O
,기록을,O,O
,여러,O,O
,차례,O,O
,세운,O,O
,오스,O,O
,##틴,O,O
,##을,O,O
,국방,O,O
,##장관,O,O
,##에,O,O
,지명,O,O
,##할,O,O
,예정이라고,O,O
,전했다,O,O
,[SEP],O,O
Sentence 2,[CLS],O,O
,휴,O,O
,##먼,O,O
,##라이,O,O
,##츠,O,O
,##워치,O,O
,##와,O,O
,인터뷰,O,O
,##한,O,O
,디지털,ANM-B,ETC-B
,성,ANM-I,ETC-I
,##범죄,ANM-I,ETC-I
,피해자,ANM-I,ETC-I
,강,ANM-I,PER-B
,##유,ANM-I,PER-I
,##진,ANM-I,PER-I
,##씨,ANM-I,PER-I
,(,ANM-I,O
,가,ANM-I,O
,##명,ANM-I,O
,),ANM-I,O
,는,O,O
,검사,O,O
,##로부터,O,O
,[UNK],O,O
,가해,O,O
,##자가,O,O
,500만,O,O
,##원도,O,O
,안,O,O
,되는,O,O
,벌금,O,O
,##형을,O,O
,받을,O,O
,건데,O,O
,그래도,O,O
,기소,O,O
,##를,O,O
,하실,O,O
,건가요,O,O
,?,O,O
,[UNK],O,O
,라는,O,O
,질문을,O,O
,받았다,O,O
,[SEP],O,O
Sentence 3,[CLS],O,O
,회의,ANM-B,ORG-B
,##장,ANM-I,ORG-I
,측,ANM-I,ORG-I
,관계자는,ANM-I,PER-B
,[UNK],O,O
,문,O,O
,의장,O,O
,##이,O,O
,최근,O,O
,국회,O,O
,##사무,O,O
,##처,O,O
,##로부터,O,O
,개헌,O,O
,##안이,O,O
,공고,O,O
,##된,O,O
,지,O,O
,60,O,O
,##일이,O,O
,다가온,O,O
,만큼,O,O
,본,O,O
,##회의,O,O
,##가,O,O
,8일,O,O
,개최,O,O
,##돼야,O,O
,한다는,O,O
,보고,O,O
,##를,O,O
,받았다,O,O
,[UNK],O,O
,며,O,O
,[UNK],O,O
,헌법,O,O
,절차를,O,O
,진행,O,O
,##하기,O,O
,위해,O,O
,8일,O,O
,##에,O,O
,본,O,O
,##회의를,O,O
,소집,O,O
,##하는,O,O
,것을,O,O
,검토하고,O,O
,있다,O,O
,[UNK],O,O
,고,O,O
,설명했다,O,O
,[SEP],O,O
Sentence 4,[CLS],O,O
,회의,ANM-B,ETC-B
,##에,ANM-I,ETC-I
,참석,ANM-I,ETC-I
,##했던,ANM-I,ETC-I
,한,ANM-I,NUM-B
,인사,ANM-I,PER-B
,##는,O,O
,[UNK],O,O
,대장,O,O
,##동,O,O
,수사,O,O
,관련,O,O
,협의,O,O
,##가,O,O
,아니었,O,O
,##고,O,O
,",",O,O
,난,O,O
,대장,O,O
,##동,O,O
,담당,O,O
,##도,O,O
,아니다,O,O
,[UNK],O,O
,라며,O,O
,[UNK],O,O
,전반적인,O,O
,수사,O,O
,##협,O,O
,##조를,O,O
,논의,O,O
,##하는,O,O
,자리,O,O
,##였다,O,O
,[UNK],O,O
,고,O,O
,밝혔다,O,O
,[SEP],O,O
Sentence 5,[CLS],O,O
,회의를,O,O
,하루,O,O
,앞둔,O,O
,1일,O,O
,미국,ANM-B,ORG-B
,행정,ANM-I,ORG-I
,##부,ANM-I,ORG-I
,고위,ANM-I,PER-B
,##당,ANM-I,PER-I
,##국,ANM-I,PER-I
,##자는,ANM-I,PER-I
,사전,O,O
,브리,O,O
,##핑,O,O
,##에서,O,O
,[UNK],O,O
,한반도,O,O
,##의,O,O
,평화,O,O
,##와,O,O
,안정을,O,O
,유지하는,O,O
,문제에,O,O
,대해,O,O
,주로,O,O
,논의,O,O
,##할,O,O
,것,O,O
,[UNK],O,O
,이라,O,O
,##면서,O,O
,[UNK],O,O
,3,O,O
,##자,O,O
,회의,O,O
,##뿐만,O,O
,아니라,O,O
,양자,O,O
,회의를,O,O
,통해,O,O
,우리가,O,O
,다루는,O,O
,문제에,O,O
,대해,O,O
,같은,O,O
,입장을,O,O
,취하고,O,O
,있음을,O,O
,확인하는,O,O
,기회를,O,O
,갖게,O,O
,될,O,O
,것,O,O
,[UNK],O,O
,이라고,O,O
,말했다,O,O
,[SEP],O,O
Sentence 6,[CLS],O,O
,회의,O,O
,##는,O,O
,프랑스,O,O
,##와,O,O
,에스,O,O
,##토,O,O
,##니아,O,O
,##의,O,O
,요청,O,O
,##에,O,O
,따라,O,O
,소집,O,O
,##됐다고,O,O
,복수,ANM-B,NUM-B
